,x,y,z,atoms
0,8.9654129087,9.413406517499999,9.0001232875,C
1,2.9159880887,9.413406517499999,9.0001232875,C
2,8.9654129087,3.3639816975,9.0001232875,C
3,2.9159880887,3.3639816975,9.0001232875,C
4,8.9654129087,9.413406517499999,2.9506984675,C
5,8.9654129087,3.3639816975,2.9506984675,C
6,2.9159880887,3.3639816975,2.9506984675,C
7,0.0,9.07413723,6.04942482,Cl
8,6.04942482,9.07413723,6.04942482,Cl
9,0.0,3.02471241,6.04942482,Cl
10,6.04942482,3.02471241,6.04942482,Cl
11,9.07413723,6.04942482,0.0,Cl
12,3.02471241,6.04942482,0.0,Cl
13,3.02471241,0.0,6.04942482,Cl
14,3.02471241,6.04942482,6.04942482,Cl
15,6.04942482,0.0,9.07413723,Cl
16,0.0,6.04942482,9.07413723,Cl
17,6.04942482,6.04942482,9.07413723,Cl
18,0.0,0.0,3.02471241,Cl
19,3.02471241,9.07413723,3.02471241,Cs
20,8.6905546487,10.256604688,8.350488197499999,H
21,10.659891718999999,9.081613577499999,7.933498166999999,H
22,7.275146148999999,9.6278170775,10.101670477999999,H
23,10.436726229,7.996965427,9.2897691575,H
24,8.329948608699999,8.317817127499998,10.614083538,H
25,2.6411298287,10.256604688,8.350488197499999,H
26,4.6104668989999995,9.081613577499999,7.933498166999999,H
27,1.2257213289999997,9.6278170775,10.101670477999999,H
28,4.387301409,7.996965427,9.2897691575,H
29,2.2805237886999996,8.317817127499998,10.614083538,H
30,8.6905546487,4.207179868,8.350488197499999,H
31,10.659891718999999,3.0321887575,7.933498166999999,H
32,7.275146148999999,3.5783922575,10.101670477999999,H
33,10.436726229,1.9475406069999999,9.2897691575,H
34,8.329948608699999,2.2683923074999996,10.614083538,H
35,2.6411298287,4.207179868,8.350488197499999,H
36,4.6104668989999995,3.0321887575,7.933498166999999,H
37,1.2257213289999997,3.5783922575,10.101670477999999,H
38,4.387301409,1.9475406069999999,9.2897691575,H
39,2.2805237886999996,2.2683923074999996,10.614083538,H
40,8.6905546487,10.256604688,2.3010633775,H
41,10.659891718999999,9.081613577499999,1.884073347,H
42,7.275146148999999,9.6278170775,4.0522456579999995,H
43,10.436726229,7.996965427,3.2403443375,H
44,8.329948608699999,8.317817127499998,4.564658718,H
45,8.6905546487,4.207179868,2.3010633775,H
46,10.659891718999999,3.0321887575,1.884073347,H
47,7.275146148999999,3.5783922575,4.0522456579999995,H
48,10.436726229,1.9475406069999999,3.2403443375,H
49,8.329948608699999,2.2683923074999996,4.564658718,H
50,2.6411298287,4.207179868,2.3010633775,H
51,4.6104668989999995,3.0321887575,1.884073347,H
52,1.2257213289999997,3.5783922575,4.0522456579999995,H
53,4.387301409,1.9475406069999999,3.2403443375,H
54,2.2805237886999996,2.2683923074999996,4.564658718,H
55,0.0,9.07413723,0.0,I
56,6.04942482,9.07413723,0.0,I
57,0.0,3.02471241,0.0,I
58,6.04942482,3.02471241,0.0,I
59,9.07413723,0.0,0.0,I
60,3.02471241,0.0,0.0,I
61,9.07413723,0.0,6.04942482,I
62,9.07413723,6.04942482,6.04942482,I
63,0.0,0.0,9.07413723,I
64,6.04942482,0.0,3.02471241,I
65,0.0,6.04942482,3.02471241,I
66,6.04942482,6.04942482,3.02471241,I
67,10.097317078999998,8.8046704275,8.753352737499998,N
68,8.138100498699998,9.0942029975,9.961975317499999,N
69,4.047892259,8.8046704275,8.753352737499998,N
70,2.0886756786999996,9.0942029975,9.961975317499999,N
71,10.097317078999998,2.7552456075,8.753352737499998,N
72,8.138100498699998,3.0447781774999996,9.961975317499999,N
73,4.047892259,2.7552456075,8.753352737499998,N
74,2.0886756786999996,3.0447781774999996,9.961975317499999,N
75,10.097317078999998,8.8046704275,2.7039279175,N
76,8.138100498699998,9.0942029975,3.9125504974999994,N
77,10.097317078999998,2.7552456075,2.7039279175,N
78,8.138100498699998,3.0447781774999996,3.9125504974999994,N
79,4.047892259,2.7552456075,2.7039279175,N
80,2.0886756786999996,3.0447781774999996,3.9125504974999994,N
81,0.0,0.0,0.0,Pb
82,6.04942482,0.0,0.0,Pb
83,0.0,6.04942482,0.0,Pb
84,6.04942482,6.04942482,0.0,Pb
85,0.0,0.0,6.04942482,Pb
86,6.04942482,0.0,6.04942482,Pb
87,0.0,6.04942482,6.04942482,Pb
88,6.04942482,6.04942482,6.04942482,Pb
